,Generator Loss per step,Discriminator Loss per step
0,263.82285,1.7571692
1,217.75464,5.271433
2,208.9627,1.6656649
3,190.71646,3.0660834
4,169.5659,1.5587528
5,157.264,1.6429524
6,142.59247,1.8560479
7,132.0559,1.5295451
8,136.95522,1.4113618
9,115.224785,1.4196061
10,109.06742,1.397342
11,100.83313,1.429343
12,92.73041,1.4147053
13,86.363106,1.3928382
14,89.808945,1.3754401
15,91.91939,1.4119884
16,80.92587,1.4243248
17,85.58847,1.4442391
18,76.48492,1.4367754
19,81.14141,1.4189909
20,81.379456,1.4105856
21,79.52593,1.4159248
22,78.76163,1.5078068
23,78.57227,1.6333592
24,79.537964,1.8287644
25,77.41468,1.7290432
26,65.1435,1.6362731
27,71.316635,1.578908
28,72.16023,1.4941071
29,95.75826,1.4196174
30,75.93995,1.3973968
31,80.53524,1.3773669
32,71.93473,1.3879588
33,71.41613,1.3689992
34,64.30018,1.3651407
35,68.985855,1.3698931
36,60.575832,1.3741878
37,71.02979,1.379394
38,72.40898,1.355601
39,63.67392,1.3562155
40,67.77141,1.33988
41,74.58149,1.3489908
42,70.73875,1.3406932
43,72.09245,1.3520846
44,64.41013,1.3313117
45,76.774284,1.3353151
46,65.46773,1.3465426
47,65.22086,1.3354495
48,66.74614,1.3703094
49,65.091896,1.362594
50,71.2146,1.3513958
51,63.66799,1.3534805
52,65.79711,1.2991931
53,57.70714,1.3020899
54,63.38691,1.2568368
55,58.7503,1.2869236
56,73.80344,1.2755737
57,72.243904,1.321963
58,71.77897,1.2753301
59,60.485016,1.257848
60,70.58305,1.2810404
61,61.383392,1.2569084
62,67.46646,1.3084366
63,65.314705,1.3140548
64,61.352757,1.2458537
65,64.876465,1.3042465
66,69.44669,1.2282577
67,61.888153,1.1834602
68,87.75543,1.1973743
69,66.98389,1.1808665
70,69.02634,1.177057
71,61.508526,1.1661005
72,65.63305,1.1782416
73,58.702305,1.193504
74,66.211426,1.2083104
75,60.798355,1.182425
76,69.05413,1.2063618
77,67.69753,1.2683678
78,66.472084,1.1572653
79,68.83461,1.1884435
80,62.385124,1.1122297
81,65.54439,1.0347723
82,53.793274,1.0835255
83,65.97573,1.0135729
84,68.48473,1.0440495
85,53.32803,1.3382916
86,63.053234,1.2701817
87,66.6344,1.1405852
88,59.88822,1.0082669
89,58.49928,1.0217683
90,69.32066,1.1078699
91,58.02442,1.2171681
92,62.392803,1.1801748
93,60.393875,1.1770127
94,63.35552,1.126599
95,63.21664,1.1383601
96,62.26337,1.0424174
97,62.585728,1.0246422
98,68.12647,0.9837339
99,66.14628,0.93272156
100,64.14079,0.9421958
